iter	RMSE
0	1240.27972
1	1134.759072
2	1041.283079
3	957.5308164
4	883.102392
5	817.1949245
6	757.9931453
7	706.0765556
8	659.6827028
9	617.1482636
10	581.2108037
11	549.4509447
12	521.161732
13	497.1115773
14	475.3757878
15	457.0827684
16	438.8877412
17	422.7848663
18	409.2150148
19	396.6598537
20	386.2468797
21	376.264467
22	368.2613264
23	361.1741643
24	354.6203662
25	348.8002353
26	343.5611267
27	339.121626
28	335.235903
29	331.7395911
30	327.9071205
31	323.6944767
32	320.4411358
33	317.1332461
34	314.3197143
35	311.8455328
36	308.7995161
37	306.3345237
38	303.3954095
39	300.9400142
40	298.3232806
41	296.0375527
42	293.9257284
43	291.143434
44	289.0219975
45	286.8676181
46	285.0918078
47	282.8009277
48	280.8884815
49	278.4398801
50	276.8747008
51	275.1944394
52	273.079868
53	271.7094428
54	270.5402135
55	269.4922143
56	268.5568702
57	267.3594522
58	266.3103226
59	264.5772661
60	263.0008006
61	262.0457327
62	260.9479609
63	260.1454747
64	259.1821024
65	258.3697317
66	257.5981714
67	256.215116
68	255.0486791
69	253.8206534
70	252.7348928
71	251.972744
72	251.3478401
73	250.5823264
74	249.2056828
75	248.3951751
76	247.3010751
77	246.4609599
78	245.7083462
79	245.094915
80	244.2751468
81	243.6851505
82	242.5002876
83	241.8395129
84	240.9061049
85	240.4005397
86	239.9767269
87	239.480813
88	238.8855675
89	237.8963653
90	237.0918927
91	236.323021
92	235.8018067
93	235.1755144
94	234.5147114
95	233.9993241
96	233.3496142
97	232.8957864
98	232.3760377
99	231.6856923
100	231.3097442
101	230.8119249
102	230.3606783
103	229.8670263
104	229.3832869
105	228.5699002
106	228.1825831
107	227.6392015
108	226.7024983
109	226.2519615
110	225.966455
111	225.7247286
112	225.1359953
113	224.7115225
114	224.3673636
115	223.9743341
116	223.4517353
117	222.7401421
118	222.2353722
119	221.7200178
120	221.1863572
121	220.8133185
122	220.1381291
123	219.8917379
124	219.1228519
125	218.5950616
126	217.926549
127	217.5201096
128	216.9116316
129	216.5241171
130	215.9915315
131	215.6705299
132	215.2627777
133	215.0106493
134	214.4799074
135	213.7583592
136	213.3982964
137	212.8519179
138	212.5255422
139	212.2454457
140	211.9170091
141	211.3972461
142	210.7185891
143	210.288141
144	210.0711948
145	209.8298528
146	209.397257
147	209.2267361
148	208.8593495
149	208.6738937
150	208.3579391
151	207.8872711
152	207.2511976
153	206.7981
154	206.5723226
155	205.9104067
156	205.6596463
157	205.3563769
158	204.8754017
159	204.2811965
160	204.0216607
161	203.6624978
162	203.3404937
163	202.8518754
164	202.4062159
165	202.1204346
166	201.5791333
167	201.2452793
168	201.0455743
169	200.6921233
170	200.3941098
171	200.1181284
172	199.8240268
173	199.4439663
174	198.9938561
175	198.8702653
176	198.5189498
177	198.2098943
178	198.0040248
179	197.6937302
180	197.3026509
181	197.0694473
182	196.7311648
183	196.2440838
184	196.0972022
185	195.6705294
186	195.4736045
187	195.1314463
188	194.9208898
189	194.7544841
190	194.5307387
191	194.1162958
192	193.8694695
193	193.4867959
194	193.0114211
195	192.6743671
196	192.4845092
197	192.2805827
198	191.9783878
199	191.5886911
200	191.3084785
201	191.0097858
202	190.7969559
203	190.6131106
204	190.2956471
205	189.9345225
206	189.4758767
207	189.1082144
208	188.9756772
209	188.7747006
210	188.4031745
211	188.1754202
212	187.9182957
213	187.6251375
214	187.4102823
215	186.9990016
216	186.744167
217	186.5786882
218	186.1836687
219	185.9942805
220	185.7079173
221	185.3219817
222	185.0438608
223	184.9429011
224	184.7064358
225	184.3590359
226	184.26302
227	183.8329737
228	183.5794761
229	183.3163464
230	183.1829457
231	182.9749267
232	182.596743
233	182.439631
234	182.1524661
235	181.9783148
236	181.7434468
237	181.3688399
